========FIRST LAYER WEIGHTS========
=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|
  Y29|    0|   -2|   -2|    2|    2|    2|    2|    0|   -2|   -2|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|    0|   -2|   -2|    2|    2|    2|    0|   -2|    0|    0|   -2|   -2|    0|    2|    2|    2|    0|   -2|    0|   -2|   -2|    0|    0|    2|    2|    2|    0|   -2|   -2|   -2|    0|    0|    0|    2|    2|    2|    0|    0|    0|    0|    2|    2|    2|    2|    2|    2|    0|    0|    2|    0|    0|    2|    2|    2|    2|    2|    0|   -2|    0|    0|   -2|   -2|    0|    2|    2|    2|    0|   -2|    0|    0|    0|   -2|   -2|    2|    2|    2|    0|   -2|    0|    0|    0|    0|   -2|    0|    2|    2|    0|   -2|    0|    0|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  Y30|   -2|    0|    0|    0|    0|    0|    0|   -2|    0|    0|   -2|    0|    2|    0|    0|    0|    0|    0|    0|    0|   -2|    2|    2|   -2|   -2|   -2|   -2|    2|    2|   -2|    0|    2|    0|   -2|   -2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|   -2|    0|    0|   -2|    0|    0|    0|    2|    0|   -2|    0|    0|   -2|   -2|    0|    0|    0|    2|    0|    0|    0|   -2|   -2|   -2|    0|    0|    0|    2|    2|    2|    2|    0|    0|    0|    0|    0|    0|    2|    2|    0|    2|    2|    0|    0|    0|    0|    0|    2|    0|   -2|   -2|    0|    0|   -2|    0|    0|    0|    2|    0|   -2|   -2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|   -2|   -2|   -2|    0|    2|    0|    0|    2|    0|   -2|   -2|   -2|   -2|   -2|    2|    2|    0|    2|    0|   -2|   -2|   -2|   -2|   -2|    2|    2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  Y31|    2|    0|    0|    0|    0|    0|    0|    2|    0|    0|    2|    0|   -2|    0|    0|    0|    0|    0|    0|    0|    2|   -2|   -2|    2|    2|    2|    2|   -2|   -2|    2|    0|   -2|    0|    2|    2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    0|    0|    2|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    0|    0|    0|   -2|    0|    0|    0|    2|    2|    2|    0|    0|    0|   -2|   -2|   -2|   -2|    0|    0|    0|    0|    0|    0|   -2|   -2|    0|   -2|   -2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    0|    0|    2|    0|    0|    0|   -2|    0|    2|    2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    2|    2|    0|   -2|    0|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  Y32|    2|    0|    0|    0|    0|    0|    0|    2|    0|    0|    2|    0|   -2|    0|    0|    0|    0|    0|    0|    0|    2|   -2|   -2|    2|    2|    2|    2|   -2|   -2|    2|    0|   -2|    0|    2|    2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    0|    0|    2|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    0|    0|    0|   -2|    0|    0|    0|    2|    2|    2|    0|    0|    0|   -2|   -2|   -2|   -2|    0|    0|    0|    0|    0|    0|   -2|   -2|    0|   -2|   -2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    0|    0|    2|    0|    0|    0|   -2|    0|    2|    2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    2|    2|    0|   -2|    0|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  Y33|    2|    0|    0|    0|    0|    0|    0|    2|    0|    0|    2|    0|   -2|    0|    0|    0|    0|    0|    0|    0|    2|   -2|   -2|    2|    2|    2|    2|   -2|   -2|    2|    0|   -2|    0|    2|    2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    0|    0|    2|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    0|    0|    0|   -2|    0|    0|    0|    2|    2|    2|    0|    0|    0|   -2|   -2|   -2|   -2|    0|    0|    0|    0|    0|    0|   -2|   -2|    0|   -2|   -2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    0|    0|    2|    0|    0|    0|   -2|    0|    2|    2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    2|    2|    0|   -2|    0|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  Y34|   -2|    0|    0|    0|    0|    0|    0|   -2|    0|    0|   -2|    0|    2|    0|    0|    0|    0|    0|    0|    0|   -2|    2|    2|   -2|   -2|   -2|   -2|    2|    2|   -2|    0|    2|    0|   -2|   -2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|   -2|    0|    0|   -2|    0|    0|    0|    2|    0|   -2|    0|    0|   -2|   -2|    0|    0|    0|    2|    0|    0|    0|   -2|   -2|   -2|    0|    0|    0|    2|    2|    2|    2|    0|    0|    0|    0|    0|    0|    2|    2|    0|    2|    2|    0|    0|    0|    0|    0|    2|    0|   -2|   -2|    0|    0|   -2|    0|    0|    0|    2|    0|   -2|   -2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|   -2|   -2|   -2|    0|    2|    0|    0|    2|    0|   -2|   -2|   -2|   -2|   -2|    2|    2|    0|    2|    0|   -2|   -2|   -2|   -2|   -2|    2|    2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
=======RECOGNIZING=======
 1inp|   12|   -4|  -12|   -4|   12|   12|  -12|   -4|    4|   -4|    4|   -4|   12|   -4|  -12|    4|    4|  -12|  -12|  -12|    4|   -4|   12|   -4|  -12|    4|   -4|   -4|   12|  -12|    4|   -4|   -4|   -4|    4|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 prev|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  now|    1|    0|    0|    0|    1|    1|    0|    0|    1|    0|    1|    0|    1|    0|    0|    1|    1|    0|    0|    0|    1|    0|    1|    0|    0|    1|    0|    0|    1|    0|    1|    0|    0|    0|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 2inp|  -16|   12|   12|  -12|  -12|  -12|  -12|  -16|   12|   12|  -16|   12|   16|  -12|  -12|  -12|  -12|  -12|   12|   12|  -16|   16|   16|  -16|  -16|  -16|  -16|   16|   16|  -16|  -12|   16|   12|  -16|  -16|  -16|   12|   12|  -12|  -12|  -12|   16|   12|  -16|  -16|   12|   12|  -16|  -12|  -12|  -12|   16|   12|  -16|   12|   12|  -16|  -16|  -12|  -12|  -12|   16|   12|   12|   12|  -16|  -16|  -16|  -12|  -12|  -12|   16|   16|   16|   16|  -12|  -12|  -12|  -12|  -12|  -12|   16|   16|  -12|   16|   16|  -12|  -12|  -12|  -12|  -12|   16|   12|  -16|  -16|   12|   12|  -16|  -12|  -12|  -12|   16|   12|  -16|  -16|  -16|   12|   12|  -12|  -12|  -12|   16|   12|  -16|  -16|  -16|  -16|   12|   16|  -12|  -12|   16|   12|  -16|  -16|  -16|  -16|  -16|   16|   16|  -12|   16|   12|  -16|  -16|  -16|  -16|  -16|   16|   16|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 prev|    0|    0|    0|    0|    0|    0|    0|    0|    1|    1|    0|    0|    0|    0|    0|    0|    0|    0|    1|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    1|    1|    0|    0|    0|    0|    0|    0|    0|    0|    1|    1|    0|    0|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  now|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 1inp|   58|  -54|  -58|  -54|   58|   58|  -58|  -54|   54|  -54|   54|  -54|   58|  -54|  -58|   54|   54|  -58|  -58|  -58|   54|  -54|   58|  -54|  -58|   54|  -54|  -54|   58|  -58|   54|  -54|  -54|  -54|   54|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 prev|    1|    0|    0|    0|    1|    1|    0|    0|    1|    0|    1|    0|    1|    0|    0|    1|    1|    0|    0|    0|    1|    0|    1|    0|    0|    1|    0|    0|    1|    0|    1|    0|    0|    0|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  now|    1|    0|    0|    0|    1|    1|    0|    0|    1|    0|    1|    0|    1|    0|    0|    1|    1|    0|    0|    0|    1|    0|    1|    0|    0|    1|    0|    0|    1|    0|    1|    0|    0|    0|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 2inp|  -16|   12|   12|  -12|  -12|  -12|  -12|  -16|   12|   12|  -16|   12|   16|  -12|  -12|  -12|  -12|  -12|   12|   12|  -16|   16|   16|  -16|  -16|  -16|  -16|   16|   16|  -16|  -12|   16|   12|  -16|  -16|  -16|   12|   12|  -12|  -12|  -12|   16|   12|  -16|  -16|   12|   12|  -16|  -12|  -12|  -12|   16|   12|  -16|   12|   12|  -16|  -16|  -12|  -12|  -12|   16|   12|   12|   12|  -16|  -16|  -16|  -12|  -12|  -12|   16|   16|   16|   16|  -12|  -12|  -12|  -12|  -12|  -12|   16|   16|  -12|   16|   16|  -12|  -12|  -12|  -12|  -12|   16|   12|  -16|  -16|   12|   12|  -16|  -12|  -12|  -12|   16|   12|  -16|  -16|  -16|   12|   12|  -12|  -12|  -12|   16|   12|  -16|  -16|  -16|  -16|   12|   16|  -12|  -12|   16|   12|  -16|  -16|  -16|  -16|  -16|   16|   16|  -12|   16|   12|  -16|  -16|  -16|  -16|  -16|   16|   16|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 prev|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  now|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
=======RECOGNIZING=======
 1inp|    0|   -2|   -2|    2|    2|    2|    2|    0|   -2|   -2|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|    0|   -2|   -2|    2|    2|    2|    0|   -2|    0|    0|   -2|   -2|    0|    2|    2|    2|    0|   -2|    0|   -2|   -2|    0|    0|    2|    2|    2|    0|   -2|   -2|   -2|    0|    0|    0|    2|    2|    2|    0|    0|    0|    0|    2|    2|    2|    2|    2|    2|    0|    0|    2|    0|    0|    2|    2|    2|    2|    2|    0|   -2|    0|    0|   -2|   -2|    0|    2|    2|    2|    0|   -2|    0|    0|    0|   -2|   -2|    2|    2|    2|    0|   -2|    0|    0|    0|    0|   -2|    0|    2|    2|    0|   -2|    0|    0|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 prev|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
